# Species	Genes	Alg.-Conn.	GCF_000001405.39_GRCh38.p13_protein.faa	GCF_000002285.3_CanFam3.1_protein.faa	GCF_000181335.3_Felis_catus_9.0_protein.faa	GCF_000464555.1_PanTig1.0_protein.faa	GCF_003709585.1_Aci_jub_2_protein.faa
2	8	0.119	*	*	XP_019682627.1,XP_019682634.1,XP_023107567.1,XP_023107575.1,XP_023107583.1,XP_023107588.1,XP_023107599.1	*	XP_026920702.1
2	8	0.124	NP_001361362.1,XP_011524338.1,XP_011524339.1,XP_011524340.1,XP_011524341.1,XP_011524344.1,XP_016881284.1	*	*	*	XP_026924738.1
5	26	0.103	XP_005260286.1,NP_003186.1,XP_024307748.1,XP_024307757.1,XP_024307756.1,XP_024307755.1,XP_024307754.1,XP_024307753.1,XP_024307752.1,XP_024307751.1,XP_024307750.1,XP_024307749.1,XP_024307747.1,XP_024307746.1,XP_024307745.1,XP_024307744.1,XP_024307743.1,XP_011527324.1,NP_942016.1	XP_013962710.1	XP_003983338.3,XP_006929629.2	XP_007087068.1,XP_007087069.1	XP_026902649.1,XP_026902650.1
5	29	0.101	NP_001365178.1,NP_073719.1,NP_073718.1,NP_073717.1,NP_073716.1,NP_003088.1,NP_001365186.1,NP_001365185.1,NP_001365184.1,NP_001365183.1,NP_001365182.1,NP_001365181.1,NP_001365180.1,NP_001336383.1,NP_001336394.1,NP_001336393.1,NP_001336392.1,NP_001336391.1,NP_001336390.1,NP_001336389.1,NP_001336388.1,NP_001336387.1,NP_001336386.1,NP_001336385.1,NP_001336384.1	XP_013967776.1	XP_004001599.2	XP_007099011.1	XP_026923677.1
5	29	0.12	NP_001363805.1,XP_011528984.1,NP_036533.2,NP_001363815.1,NP_001363814.1,NP_001363813.1,NP_001363812.1,NP_001363811.1,NP_001363810.1,NP_001363809.1,NP_001363808.1,NP_001363807.1,NP_001363806.1,NP_001363793.1,NP_001363804.1,NP_001363803.1,NP_001363802.1,NP_001363801.1,NP_001363800.1,NP_001363799.1,NP_001363798.1,NP_001363797.1,NP_001363796.1,NP_001363795.1,NP_001363794.1	XP_022279959.1	XP_019691325.1	XP_015398328.1	XP_026927353.1
2	20	0.149	NP_001356655.1,NP_001356668.1,NP_001356662.1,NP_001356661.1,NP_001356660.1,NP_001356659.1,NP_001356658.1,NP_001356657.1,NP_001356656.1,NP_001139657.1,NP_001356654.1,NP_001356653.1,NP_001356652.1,NP_001356651.1,NP_001356650.1,NP_001356649.1,NP_001139659.1	XP_022278215.1,XP_022278216.1,XP_022278217.1	*	*	*
2	13	0.15	NP_001308153.1,NP_001339967.1,NP_001339968.1,NP_001339969.1,NP_001339970.1,NP_001339971.1,NP_001339972.1,NP_001339975.1,XP_011511475.1,XP_011511476.1,XP_011511477.1	XP_013962035.1,XP_022264335.1	*	*	*
4	20	0.145	NP_001338113.1,NP_001338121.1,NP_001338120.1,NP_001338119.1,NP_001338118.1,NP_001338117.1,NP_001338116.1,NP_001338115.1,NP_001338114.1,NP_001338105.1,NP_001338112.1,NP_001338111.1,NP_001338110.1,NP_001338109.1,NP_001338108.1,NP_001338107.1,NP_001338106.1	XP_022267685.1	XP_023096648.1	*	XP_026918778.1
2	7	0.143	NP_001161431.1,XP_016858859.1,XP_016858860.1,XP_024308471.1,XP_024308472.1,XP_024308473.1	XP_005630432.1	*	*	*
2	7	0.141	NP_001337002.1,XP_011542522.2,XP_011542523.2,XP_016857193.1,XP_016857194.1,XP_024304042.1	*	XP_023109358.1	*	*
2	7	0.137	XP_011508040.1,XP_011508046.1,XP_016857215.1,XP_016857219.1,XP_016857220.1,XP_016857222.1	*	XP_019677417.2	*	*
2	7	0.142	XP_005256256.1,XP_006721363.1,XP_011521677.1,XP_016879258.1,XP_016879259.1,XP_016879260.1	*	*	*	XP_026931620.1
4	7	0.108	*	XP_013972536.1	XP_006939201.2	XP_007089079.2	XP_014923798.2,XP_014923800.2,XP_014923806.2,XP_026903896.1
2	7	0.141	NP_001288655.1,XP_011526799.1,XP_024307576.1,XP_024307577.1,XP_024307578.1,XP_024307579.1	*	XP_023106792.1	*	*
2	7	0.143	NP_002454.1,XP_005261040.1,XP_005261041.1,XP_011527873.1,XP_011527874.1,XP_024307848.1	NP_001003133.1	*	*	*
2	7	0.141	XP_011541537.1,XP_011541538.1,XP_016864655.1,XP_016864656.1,XP_016864657.1,XP_016864658.1	XP_005618228.1	*	*	*
2	7	0.141	NP_001304941.1,NP_001304942.1,NP_071801.1,XP_011541928.1,XP_016865316.1,XP_016865317.1	XP_005618210.1	*	*	*
2	7	0.142	XP_011544131.1,XP_011544132.1,XP_011544133.1,XP_011544134.1,XP_011544135.1,XP_011544136.1	XP_005621449.1	*	*	*
2	7	0.143	NP_001355851.1,NP_001355852.1,NP_001355853.1,NP_001355854.1,NP_001355855.1,NP_001355856.1	*	*	*	XP_026928745.1
2	7	0.143	XP_011529457.1,XP_011529458.1,XP_011543952.1,XP_011543953.1,XP_016884989.1,XP_016885538.1	*	XP_023102229.1	*	*
2	7	0.143	NP_001303283.1,NP_001303286.1,NP_001303287.1,XP_005256897.1,XP_005256899.1,XP_016880735.1	XP_022274369.1	*	*	*
3	7	0.128	NP_001341475.1	XP_013967775.1,XP_022272524.1	*	XP_007099008.1,XP_007099009.1,XP_007099010.1,XP_015400612.1	*
2	7	0.143	XP_016867630.1	XP_022259488.1,XP_022259489.1,XP_022259491.1,XP_022259492.1,XP_022259493.1,XP_022259494.1	*	*	*
2	7	0.143	NP_001309892.1,NP_001309893.1,XP_016859082.1,XP_016859083.1,XP_016859084.1,XP_016859085.1	XP_022260206.1	*	*	*
2	7	0.139	XP_016864187.1	XP_022261686.1,XP_022261687.1,XP_022261688.1,XP_022261689.1,XP_022261690.1,XP_022261691.1	*	*	*
2	7	0.138	NP_689671.2,XP_011544054.1,XP_011544055.1,XP_016878456.1,XP_024305931.1,XP_024305932.1	XP_022275562.1	*	*	*
2	7	0.14	XP_005274545.1,XP_006724548.1,XP_006724549.1,XP_011543795.1,XP_011543796.1,XP_016884898.1	*	*	XP_015394227.1	*
2	7	0.143	XP_006717235.1,XP_006717236.1,XP_011517129.1,XP_016870367.1,XP_016870368.1,XP_024303363.1	XP_022278084.1	*	*	*
2	7	0.143	NP_001308406.1,NP_001308407.1,NP_001308408.1,NP_001308409.1,NP_001308410.1,XP_016860543.1	XP_022260374.1	*	*	*
2	7	0.143	NP_001309215.1,NP_001309219.1,NP_665699.1,XP_006722495.1,XP_016881176.1,XP_016881177.1	*	*	XP_015396851.1	*
2	7	0.143	XP_016884459.1,XP_016884460.1,XP_016884461.1,XP_016884462.1,XP_016884463.1,XP_016884464.1	XP_022267262.1	*	*	*
2	7	0.143	NP_001284355.1,NP_001284356.1,NP_001284357.1,XP_005272361.1,XP_016864194.1,XP_024310022.1	XP_022273008.1	*	*	*
2	7	0.143	NP_001027452.1,NP_001305870.1,XP_024308827.1,XP_024308828.1,XP_024308829.1,XP_024308830.1	XP_022270357.1	*	*	*
2	7	0.143	XP_024304598.1	XP_022279854.1,XP_022279855.1,XP_022279856.1,XP_022279857.1,XP_022279858.1,XP_022279859.1	*	*	*
2	7	0.138	NP_001337777.1,NP_001337778.1,NP_001337779.1,NP_001337780.1,XP_006711434.1,XP_016856927.1	XP_022271038.1	*	*	*
2	7	0.138	NP_061985.2,XP_006722679.1,XP_024307083.1,XP_024307084.1,XP_024307085.1,XP_024307086.1	XP_013977727.1	*	*	*
2	7	0.143	XP_005262741.1,XP_006714120.1,XP_011529820.1,XP_011529821.1,XP_016863115.1,XP_016863116.1	XP_005639237.1	*	*	*
2	7	0.143	NP_001243685.1,NP_001336328.1,NP_001336330.1,NP_001336333.1,NP_001336335.1,NP_001336337.1	*	*	*	XP_026917183.1
2	7	0.138	NP_001339538.1,XP_011519395.1,XP_016876094.1,XP_016876100.1,XP_016876101.1,XP_016876102.1	*	*	*	XP_026920971.1
2	7	0.143	XP_006710622.1,XP_006710623.1,XP_006710624.1,XP_011539512.1,XP_011539513.1,XP_011539514.1	XP_013965971.1	*	*	*
2	7	0.143	*	XP_005628419.1,XP_005628420.1,XP_005628421.1,XP_013974401.1,XP_013974402.1,XP_013974403.1	*	*	XP_026931304.1
2	7	0.143	XP_011516107.1,XP_011516108.1,XP_016869970.1,XP_016869971.1,XP_024303222.1,XP_024303224.1	XP_013973346.1	*	*	*
2	7	0.143	*	XP_022275457.1,XP_022275458.1,XP_022275459.1,XP_022275460.1,XP_022275461.1,XP_022275462.1	*	*	XP_026905714.1
2	7	0.143	*	XP_022261396.1,XP_022261397.1,XP_022261398.1,XP_022261399.1,XP_022261400.1,XP_022261401.1	*	*	XP_026901715.1
2	18	0.162	NP_001310352.1,XP_006723953.1,XP_006723954.1,XP_011527413.1,XP_016883628.1,XP_016883629.1,XP_016883630.1,XP_016883631.1,XP_016883632.1,XP_016883633.1,XP_016883634.1,XP_024307790.1,XP_024307791.1,XP_024307792.1,XP_024307793.1	XP_022264878.1,XP_022264879.1,XP_022264880.1	*	*	*
2	12	0.164	NP_001275920.1,XP_011521538.1,XP_011521540.1,XP_011521542.1,XP_016878934.1,XP_016878935.1,XP_016878937.1,XP_016878939.1,XP_016878940.1,XP_024306118.1	*	*	XP_007090372.1,XP_015396629.1	*
5	21	0.11	XP_016885337.1,XP_016885336.1,XP_016885335.1,NP_001311221.1,XP_006724756.1,NP_001093392.1,XP_011529330.1,XP_011529332.1,XP_006724761.2,XP_011529335.1,XP_011529334.1,XP_011529333.1,XP_006724760.2,NP_001244166.1,NP_001244163.1,NP_001244160.1,NP_001244159.1	XP_005641757.1	XP_023105137.1	XP_007078494.1	XP_026910753.1
3	12	0.162	NP_001157815.1,NP_001157816.1,NP_001157817.1,NP_001157818.1,NP_001157819.1,NP_001335730.1,NP_001335731.1,NP_001335733.1,NP_001335734.1,NP_056457.3	*	XP_023116609.1	*	XP_026917787.1
3	12	0.165	NP_001341451.1,NP_001341453.1,NP_001341454.1,NP_001341456.1,NP_001341457.1,NP_001341458.1,NP_001341459.1,NP_001341460.1,NP_001341461.1,NP_001341462.1	XP_022268162.1	XP_023104383.1	*	*
3	12	0.158	NP_001339020.1,NP_001339021.1,NP_001339022.1,NP_001339023.1,NP_001339024.1,NP_001339025.1,XP_011536848.1,XP_011536849.1,XP_024304808.1,XP_024304809.1	*	XP_023113095.1	*	XP_026926865.1
2	8	0.1	NP_001341784.1,NP_001341785.1,NP_001341786.1,NP_001341787.1,NP_001341788.1,NP_001341789.1	XP_022263491.1,XP_022263490.1	*	*	*
2	11	0.179	NP_001265361.1,NP_149102.3,XP_016875824.1,XP_024305074.1,XP_024305075.1,XP_024305076.1,XP_024305077.1,XP_024305078.1,XP_024305079.1	XP_022265739.1,XP_022265740.1	*	*	*
2	11	0.182	NP_001275573.2,NP_001275574.1,NP_001275575.1,NP_001275576.1,NP_001275577.1,NP_001275578.1,NP_001356365.1,NP_001356366.1,NP_001356367.1	XP_013969092.1,XP_022274323.1	*	*	*
2	11	0.181	NP_001338239.1,NP_001338240.1,XP_016863709.1,XP_016863710.1,XP_016863711.1,XP_016863712.1,XP_016863718.1,XP_016863719.1,XP_016863723.1	XP_022282804.1,XP_022282805.1	*	*	*
2	6	0.163	NP_001311226.1,XP_024303969.1,XP_024303971.1,XP_024303972.1,XP_024303973.1	XP_022262464.1	*	*	*
2	6	0.166	NP_001274079.1,NP_659469.3,XP_005250266.1,XP_011514232.1,XP_016867342.1	XP_022260942.1	*	*	*
2	6	0.167	XP_011528502.1	*	*	*	XP_026906643.1,XP_026906644.1,XP_026906645.1,XP_026906646.1,XP_026906647.1
2	6	0.167	XP_006724423.1,XP_011528796.1,XP_011528797.1,XP_011528798.1,XP_016884542.1	*	*	*	XP_026906560.1
2	6	0.167	NP_001311128.2,XP_011529305.1,XP_011529307.1,XP_016885194.1,XP_016885196.1	*	*	*	XP_026909429.1
2	6	0.162	*	NP_001300731.1,XP_005626332.1,XP_013973074.1,XP_022280621.1,XP_022280773.1	*	XP_015393394.1	*
2	6	0.165	XP_005265155.1,XP_011531960.1,XP_024309267.1,XP_024309268.1,XP_024309272.1	XP_022262439.1	*	*	*
2	6	0.166	NP_001309016.1,NP_001309017.1,NP_001309018.1,NP_001309023.1,NP_473367.2	XP_022259844.1	*	*	*
2	6	0.163	NP_001287679.1,XP_016875115.1,XP_024304816.1,XP_024304817.1,XP_024304818.1	*	*	*	XP_026891839.1
2	6	0.167	NP_001271163.1,NP_001271167.1,NP_001341280.1,XP_024308915.1,XP_024308916.1	XP_022261856.1	*	*	*
2	6	0.167	*	XP_022269064.1,XP_022269065.1,XP_022269066.1,XP_022269067.1,XP_022269068.1	*	XP_015396679.1	*
2	6	0.16	NP_001308428.1,NP_001308433.1,NP_001308434.1,NP_001308440.1,XP_011509004.1	XP_022260980.1	*	*	*
2	6	0.167	*	XP_022265333.1	XP_023108026.1,XP_023108027.1,XP_023108028.1,XP_023108029.1,XP_023108030.1	*	*
2	6	0.167	*	XP_022280944.1,XP_022280945.1,XP_022280947.1,XP_022280948.1,XP_022280952.1	XP_023110524.1	*	*
2	6	0.166	NP_001364877.1,XP_005267936.1,XP_005267937.1,XP_011535280.1,XP_024305431.1	*	*	XP_015397183.1	*
2	6	0.167	NP_057241.2,NP_808224.1,XP_016885258.1,XP_016885259.1,XP_016885260.1	*	*	XP_007095659.1	*
2	6	0.167	*	XP_022261356.1	XP_023095840.1,XP_023095841.1,XP_023095842.1,XP_023095843.1,XP_023095844.1	*	*
2	6	0.167	NP_443083.1	XP_022265701.1,XP_022265702.1,XP_022265703.1,XP_022265704.1,XP_022265705.1	*	*	*
2	6	0.166	NP_680481.1,XP_011528343.1,XP_011528344.1,XP_011528345.1,XP_011528346.1	XP_022266523.1	*	*	*
2	6	0.165	NP_001028753.1,NP_001028754.1,NP_001337732.1,NP_001337733.1,XP_016857290.1	XP_022274635.1	*	*	*
2	6	0.167	NP_001298274.1,NP_001309416.1,NP_001309418.1,XP_016871661.1,XP_024303740.1	XP_022267468.1	*	*	*
2	6	0.167	NP_001310549.1,XP_005255020.1,XP_024305751.1,XP_024305752.1,XP_024305753.1	XP_022272650.1	*	*	*
2	6	0.167	NP_001243765.1,NP_001243766.1,XP_005247827.1,XP_016862671.1,XP_016862672.1	XP_022269715.1	*	*	*
2	6	0.163	XP_011529697.1,XP_011529699.1,XP_016885308.1,XP_016885309.1,XP_024308210.1	XP_022272172.1	*	*	*
2	6	0.165	*	XP_005638327.2,XP_005638330.2,XP_022268760.1,XP_022268761.1,XP_022268762.1	*	XP_007081741.1	*
2	6	0.167	NP_001273538.1,XP_005267214.1,XP_006715637.1,XP_011534474.1,XP_024302336.1	XP_022282137.1	*	*	*
2	6	0.159	NP_001135751.1,XP_011533531.1,XP_011533532.1,XP_011533533.1,XP_016876236.1	XP_022263949.1	*	*	*
2	6	0.166	XP_016870294.1	XP_022281296.1,XP_022281297.1,XP_022281298.1,XP_022281299.1,XP_022281300.1	*	*	*
2	6	0.167	XP_005265747.1,XP_016863707.1,XP_016863713.1,XP_016863714.1,XP_016863715.1	XP_022282803.1	*	*	*
2	6	0.167	NP_001127904.1,NP_001127905.1,XP_011532312.1,XP_011532313.1,XP_024309475.1	XP_022264269.1	*	*	*
2	6	0.167	NP_001335953.1,NP_001335954.1,XP_011511076.1,XP_016861800.1,XP_016861801.1	XP_022264390.1	*	*	*
2	6	0.167	XP_016880410.1,XP_016880411.1,XP_016880412.1,XP_016880413.1,XP_016880414.1	*	*	XP_007086058.1	*
2	6	0.16	XP_006720337.1,XP_006720338.1,XP_016877192.1,XP_016877193.1,XP_016877194.1	XP_022277630.1	*	*	*
2	6	0.163	NP_001284363.1,NP_001337156.1,NP_001337157.1,XP_011539694.1,XP_011539695.1	*	*	XP_007092552.1	*
2	6	0.167	*	*	XP_023115334.1,XP_023115335.1,XP_023115336.1,XP_023115337.1,XP_023115338.1	*	XP_026910346.1
2	6	0.165	*	*	XP_023111823.1,XP_023111824.1,XP_023111825.1,XP_023111826.1,XP_023111829.1	*	XP_026922465.1
2	6	0.164	*	*	XP_023110376.1	*	XP_026912237.1,XP_026912238.1,XP_026912239.1,XP_026912240.1,XP_026912241.1
2	6	0.161	XP_011536357.1	XP_005636943.1,XP_005636944.1,XP_022266636.1,XP_022266637.1,XP_022266638.1	*	*	*
2	6	0.167	NP_001333044.1,NP_001356775.1,XP_011508364.1,XP_016858046.1,XP_016858047.1	*	*	*	XP_026930040.1
2	6	0.162	*	*	XP_023104566.1,XP_023104567.1,XP_023104568.1,XP_023104569.1,XP_023104571.1	*	XP_026909158.1
2	6	0.167	NP_001274509.1	XP_013975753.1,XP_022260300.1,XP_022260301.1,XP_022260302.1,XP_022260303.1	*	*	*
2	6	0.167	*	*	XP_023103730.1	*	XP_026930417.1,XP_026930419.1,XP_026930420.1,XP_026930421.1,XP_026930422.1
2	6	0.167	NP_001244326.1,NP_001244327.1,NP_001244328.1,NP_001269505.1,NP_001269508.1	XP_013962299.1	*	*	*
2	6	0.161	NP_001269495.1,NP_001269496.1,NP_001269498.1,NP_001269499.1,XP_006710744.1	XP_013965441.1	*	*	*
3	6	0.122	*	XP_005628763.2,XP_013974482.1,XP_022283260.1,XP_022283261.1	XP_019681225.1	*	XP_026931587.1
2	6	0.167	*	XP_005626610.1	*	XP_007087790.1,XP_007087791.1,XP_007087792.1,XP_015395543.1,XP_015395544.1	*
2	6	0.167	NP_001193914.1,NP_001193915.1,NP_001193916.1,NP_001289633.1,NP_001365283.1	XP_013971744.1	*	*	*
2	6	0.162	NP_001340417.1,NP_001340418.1,NP_001340419.1,XP_006716864.1,XP_011516256.1	*	XP_023099056.1	*	*
2	6	0.167	*	XP_022260610.1,XP_022260611.1,XP_022260612.1,XP_022260613.1,XP_022260614.1	XP_023114832.1	*	*
3	9	0.102	XP_016859387.1,XP_016860113.1,XP_016860114.1,XP_016860229.1,NP_001032955.1,NP_115636.1,XP_016860315.1	XP_013972880.1	*	XP_015400078.1	*
2	6	0.167	NP_001337331.1,NP_001363661.1,XP_006710375.1,XP_016855667.1,XP_024308592.1	*	XP_023113576.1	*	*
2	6	0.167	XP_011521561.1,XP_016879024.1,XP_016879025.1,XP_016879026.1,XP_016879027.1	XP_005617628.1	*	*	*
2	6	0.167	NP_001303990.1,NP_001341861.1,NP_001341862.1,NP_001341863.1,XP_016866892.1	*	XP_023109491.1	*	*
2	6	0.157	XP_016880838.1,XP_016880839.1,XP_016880840.1,XP_016880843.1,XP_016880844.1	XP_005620149.1	*	*	*
2	6	0.167	NP_001120727.1,XP_006723138.1,XP_006723139.1,XP_011524898.1,XP_011524901.1	*	XP_023101639.1	*	*
2	6	0.166	XP_024307448.1	*	XP_023098881.1,XP_023098887.1,XP_023098895.1,XP_023098902.1,XP_023098911.1	*	*
2	6	0.16	NP_001284626.1,XP_005248518.1,XP_005248520.1,XP_006714633.1,XP_016864697.1	*	XP_019690686.1	*	*
2	6	0.167	XP_005266378.1,XP_005266379.1,XP_006719856.1,XP_006719857.1,XP_016876012.1	*	XP_019682331.1	*	*
2	6	0.166	XP_016867826.1	*	XP_019680990.1,XP_019680992.1,XP_019680993.1,XP_019680995.1,XP_019680996.1	*	*
5	22	0.148	NP_001336154.1,XP_024309078.1,XP_016861025.1,XP_016861024.1,XP_016861023.1,XP_016861022.1,XP_011531575.1,XP_011531573.1,NP_001336155.1,NP_001336145.1,NP_001336153.1,NP_001336152.1,NP_001336151.1,NP_001336150.1,NP_001336149.1,NP_001336148.1,NP_001336147.1,NP_001336146.1	XP_022262466.1	XP_006928810.1	XP_007088545.1	XP_014932523.1
2	15	0.199	XP_011541859.1,XP_011541861.1,XP_016865194.1	XP_022272241.1,XP_022272242.1,XP_022272245.1,XP_022272248.1,XP_022272249.1,XP_022272253.1,XP_022272260.1,XP_022272261.1,XP_022272265.1,XP_022272274.1,XP_022272278.1,XP_022272279.1	*	*	*
4	11	0.13	NP_001034794.1,XP_006724663.1,XP_011529110.1,XP_011529111.1,XP_011529113.1,XP_011529114.1,XP_011529115.1,XP_016885256.1	XP_855479.3	XP_004000605.2	*	XP_026909274.1
