# Species	Genes	Alg.-Conn.	GCF_000001405.39_GRCh38.p13_protein.faa	GCF_000002285.3_CanFam3.1_protein.faa	GCF_000181335.3_Felis_catus_9.0_protein.faa	GCF_000464555.1_PanTig1.0_protein.faa	GCF_003709585.1_Aci_jub_2_protein.faa
5	5	0.777	NP_065145.2	XP_005623147.1	XP_006938842.2	XP_007085967.1	XP_014935111.1
5	5	0.872	NP_787072.2	XP_005618878.1	XP_006937843.1	XP_007086113.1	XP_026902735.1
5	5	0.773	NP_004654.1	NP_001003276.1	XP_003987071.1	XP_007084586.1	XP_014933728.1
5	5	0.755	NP_071334.1	XP_546089.3	XP_011285522.2	XP_007086114.2	XP_026902739.1
5	5	0.777	NP_000933.1	XP_852389.1	NP_001265776.1	XP_007084568.1	XP_014941042.1
5	5	0.674	NP_001258564.1	XP_005640703.1	XP_011283857.1	XP_007086188.1	XP_014922163.1
5	5	0.644	NP_001103824.1	NP_001003224.1	NP_001009330.1	XP_007073959.1	XP_014934270.1
5	5	0.679	XP_011542435.1	XP_022273113.1	XP_023096152.1	XP_007086093.1	XP_026902725.1
5	5	0.7809999999999999	NP_001006666.1	XP_544479.2	XP_003989739.1	XP_007078209.1	XP_026915774.1
5	5	0.7759999999999999	NP_000916.2	XP_533778.2	XP_003982424.1	XP_007084451.1	XP_014920770.1
5	5	0.799	NP_001269643.1	XP_005632433.1	XP_006928963.1	XP_007084446.1	XP_014920769.2
5	5	0.73	NP_001074006.1	XP_541819.3	XP_003982444.1	XP_007084429.1	XP_014920797.1
5	5	0.772	NP_001273740.1	XP_013966393.1	XP_023115474.1	XP_007086243.1	XP_014922120.2
5	5	0.802	NP_065865.1	XP_545636.3	XP_003991172.1	XP_007086269.2	XP_014922093.2
5	5	0.711	NP_835470.1	XP_850305.2	XP_006942072.1	XP_007073968.1	XP_026897838.1
5	5	0.7120000000000001	NP_056347.1	XP_003640105.1	XP_003987155.2	XP_007084700.1	XP_014926355.2
5	5	0.7859999999999999	NP_005680.1	XP_005640740.1	XP_003991217.1	XP_007086227.1	XP_014922133.2
5	5	0.7040000000000001	NP_653313.3	XP_005640731.1	XP_003991212.1	XP_007086216.1	XP_014922141.1
5	5	0.855	NP_067028.1	XP_003639029.1	XP_023096217.1	XP_007086059.2	XP_026902837.1
5	5	0.718	NP_002666.1	XP_013964999.1	XP_006932448.1	XP_007084644.1	XP_026923543.1
5	5	0.76	NP_536356.3	XP_536719.1	XP_003989489.2	XP_007078377.1	XP_014938337.2
5	5	0.7559999999999999	NP_115659.1	XP_022270615.1	XP_023114116.1	XP_007078203.1	XP_026915768.1
5	5	0.611	NP_001182451.1	XP_022271361.1	XP_004000506.1	XP_007084420.1	XP_026909869.1
5	5	0.732	NP_000772.2	XP_535539.2	XP_003987006.1	XP_007084649.1	XP_014932808.1
5	5	0.78	NP_005990.1	XP_536345.2	XP_003993965.1	XP_007086082.1	XP_026902700.1
5	5	0.693	NP_877429.2	XP_022275147.1	XP_011282767.1	XP_007078387.1	XP_026916447.1
5	5	0.782	NP_060755.1	XP_544781.4	XP_006932414.1	XP_007084674.1	XP_014932756.2
5	5	0.774	NP_000974.1	XP_849312.1	XP_011282755.1	XP_007078398.1	XP_026916396.1
5	5	0.789	NP_003460.2	XP_545669.1	XP_006935690.2	XP_007086253.1	XP_014942104.1
5	5	0.743	NP_619642.2	XP_005620526.2	XP_003989510.3	XP_007078406.1	XP_026916352.1
5	5	0.735	NP_002182.1	XP_545660.1	XP_003991231.1	XP_007086245.1	XP_014922105.2
5	5	0.747	NP_542402.3	XP_005640775.1	XP_023115499.1	XP_007086252.1	XP_014928778.2
5	5	0.7809999999999999	NP_062455.1	XP_533783.3	XP_003982406.1	XP_007084491.1	XP_014918698.1
5	5	0.763	NP_002894.1	NP_001014303.1	XP_003996258.4	XP_007086020.1	XP_014934185.1
5	5	0.655	NP_001297148.1	XP_013968737.1	XP_003996336.2	XP_007086018.1	XP_026903132.1
5	5	0.618	NP_001138567.1	XP_022282827.1	XP_004000170.2	XP_007073875.1	XP_014923814.2
5	5	0.7879999999999999	NP_071361.2	XP_544476.2	XP_003989794.2	XP_007078201.1	XP_014930561.2
5	5	0.877	NP_001025176.1	XP_854351.1	XP_003986995.1	XP_007084747.1	XP_026923581.1
5	5	0.86	NP_004246.2	NP_001274020.1	XP_003986990.1	XP_007084749.1	XP_026923596.1
5	5	0.802	NP_006133.1	XP_005617798.1	XP_003989743.2	XP_007078202.1	XP_014930562.2
5	5	0.7709999999999999	NP_112576.1	XP_854998.2	XP_011282820.1	XP_007078215.1	XP_026915797.1
5	5	0.7759999999999999	NP_078942.3	XP_853575.4	XP_003987061.1	XP_007084599.1	XP_014933909.2
5	5	0.792	NP_659491.4	XP_005620100.1	XP_003996255.1	XP_007086021.1	XP_026903504.1
5	5	0.812	NP_003812.1	XP_005638158.1	XP_011289616.1	XP_007084404.1	XP_026920071.1
5	5	0.797	NP_005715.1	XP_022272107.1	XP_023110817.1	XP_007084755.1	XP_026923633.1
5	5	0.7909999999999999	NP_060542.4	XP_536334.2	XP_011285512.2	XP_007086109.1	XP_026902776.1
5	5	0.8109999999999999	NP_060263.2	XP_005638690.1	XP_003987001.4	XP_007084750.2	XP_026923595.1
5	5	0.764	NP_477513.2	XP_545667.2	XP_023115492.1	XP_007086292.1	XP_014928775.2
5	5	0.7709999999999999	NP_057107.4	XP_544171.3	XP_004000010.5	XP_007084396.1	XP_014938352.2
5	5	0.713	NP_079477.2	XP_544722.2	XP_003987087.1	XP_007084713.1	XP_026923313.1
5	5	0.7	NP_056101.5	XP_536177.3	XP_023110737.1	XP_007078367.1	XP_026923761.1
5	5	0.758	NP_116245.2	XP_851953.2	XP_011281070.1	XP_007078339.1	XP_026923947.1
5	5	0.893	NP_036314.2	XP_003433969.1	XP_019687891.1	XP_007084704.1	XP_026923189.1
5	5	0.8540000000000001	NP_004920.1	XP_854084.3	XP_004000007.1	XP_007084405.1	XP_026920064.1
5	5	0.784	NP_057576.2	XP_849976.2	XP_003996246.2	XP_007086054.1	XP_026903550.1
5	5	0.7809999999999999	NP_056137.1	XP_535526.3	XP_011281245.1	XP_007084608.1	XP_026923422.1
5	5	0.506	NP_003275.1	XP_005640680.1	XP_003991178.1	XP_007086175.1	XP_014922099.1
5	5	0.534	NP_663633.1	XP_003433933.1	XP_006932499.2	XP_007084612.1	XP_014934079.1
5	5	0.349	NP_694552.2	XP_536634.1	XP_003996328.2	XP_007086035.1	XP_026903539.1
5	5	0.735	NP_060911.2	NP_001239068.1	XP_011283879.1	XP_007086162.1	XP_014922181.1
5	5	0.9159999999999999	NP_001273380.1	XP_545862.1	XP_003986845.1	XP_007078343.2	XP_026923933.1
5	5	0.768	NP_066190.2	XP_544701.1	XP_003987153.1	XP_007084521.1	XP_014926377.1
5	5	0.8759999999999999	NP_005735.2	XP_535533.2	XP_023110851.1	XP_007084632.1	XP_026923522.1
5	5	0.613	NP_001073931.1	XP_003433983.1	XP_003987027.1	XP_007084629.1	XP_014926890.1
5	5	0.7959999999999999	NP_004692.1	NP_001300739.1	XP_003987145.1	XP_007084530.1	XP_014926385.1
5	5	0.767	NP_000994.1	XP_013974107.1	XP_003987043.1	XP_007084615.1	XP_026923450.1
5	5	0.7190000000000001	NP_036477.2	XP_542577.1	XP_023107467.1	XP_007085439.1	XP_014924409.1
5	5	0.763	NP_003838.1	XP_003639010.1	XP_003986857.1	XP_007078288.1	XP_026923864.1
5	5	0.765	NP_037370.2	XP_534131.1	XP_003980463.1	XP_007085433.1	XP_026920706.1
5	5	0.815	NP_068839.1	XP_005633935.1	XP_011278441.1	XP_007085465.1	XP_026920632.1
5	5	0.688	NP_068804.1	XP_005617781.1	XP_003989795.2	XP_007078230.2	XP_014930559.1
5	5	0.784	NP_061138.3	XP_536197.2	XP_006932315.1	XP_007078284.1	XP_026923905.1
5	5	0.905	NP_064629.2	XP_853077.1	XP_019690967.1	XP_007085761.1	XP_026926794.1
5	5	0.8190000000000001	NP_075567.2	XP_022278786.1	XP_023100466.1	XP_007085782.1	XP_026889800.1
5	5	0.82	NP_003949.1	XP_864730.1	XP_023109698.1	XP_007085399.1	XP_026913648.1
5	5	0.7859999999999999	NP_115514.2	XP_542586.1	XP_003980468.1	XP_007085421.1	XP_014930711.2
5	5	0.7709999999999999	NP_690867.3	XP_013961883.1	XP_023107779.1	XP_007085420.1	XP_014940952.2
5	5	0.519	NP_001364258.1	XP_022283391.1	XP_023113541.1	XP_007085741.1	XP_026926121.1
5	5	0.762	NP_003390.4	XP_549245.3	XP_004000966.1	XP_007085499.1	XP_026910063.1
5	5	0.617	NP_001116188.1	XP_005641842.1	XP_004000922.1	XP_007085496.1	XP_014942028.2
5	5	0.618	NP_057108.2	XP_005641863.1	XP_023104602.1	XP_007085510.1	XP_014935207.2
5	5	0.78	NP_665811.1	XP_865808.1	XP_004000938.1	XP_007085505.1	XP_026910034.1
5	5	0.779	NP_004199.1	XP_538170.2	XP_004000937.1	XP_007085504.1	XP_026910033.1
5	5	0.706	NP_006409.3	XP_022264079.1	XP_003980481.1	XP_007085480.1	XP_014941008.1
5	5	0.6	NP_995580.1	XP_005618431.1	XP_003986873.1	XP_007078267.1	XP_014917460.1
5	5	0.917	NP_001027454.1	XP_866351.3	XP_023113114.1	XP_007085753.1	XP_026926837.1
5	5	0.8590000000000001	NP_060536.3	XP_852536.1	XP_003989744.2	XP_007078231.1	XP_014930581.2
5	5	0.772	NP_689648.2	XP_022283394.1	XP_003989172.1	XP_007085748.2	XP_026926852.1
5	5	0.763	NP_055160.2	XP_851845.2	XP_023109761.1	XP_007085374.1	XP_026913497.1
5	5	0.775	NP_057143.1	XP_013973878.1	XP_003986118.1	XP_007085314.1	XP_014925291.1
5	5	0.8340000000000001	NP_003128.3	XP_005627322.1	XP_023109673.1	XP_007085330.1	XP_026913701.1
5	5	0.777	NP_003008.1	XP_532124.3	XP_003986117.1	XP_007085317.1	XP_014925293.1
5	5	0.755	NP_115727.5	XP_850801.1	XP_011287475.1	XP_007085813.1	XP_014934069.1
5	5	0.785	NP_660298.2	XP_850888.1	XP_003996807.1	XP_007085810.1	XP_014934081.2
5	5	0.726	NP_001823.1	NP_001003287.1	XP_003986107.1	XP_007085331.1	XP_014925262.1
5	5	0.79	NP_060218.1	XP_537657.1	XP_003996812.2	XP_007085825.1	XP_014934078.1
5	5	0.777	NP_001128578.1	XP_538902.2	XP_003986134.2	XP_007085291.1	XP_014925259.1
5	5	0.778	NP_060242.2	XP_022281493.1	XP_006931744.2	XP_007085302.1	XP_014925282.1
5	5	0.7609999999999999	NP_612502.1	XP_850758.2	XP_023109700.1	XP_007085299.1	XP_014925281.1
5	5	0.784	NP_006699.2	XP_532129.3	XP_003986132.1	XP_007085294.1	XP_014925273.1
5	5	0.797	NP_055267.1	XP_022281503.1	XP_023109815.1	XP_007085366.1	XP_026913406.1
5	5	0.838	NP_001012992.1	XP_003431731.2	XP_019687147.2	XP_007085372.1	XP_026913487.1
5	5	0.619	NP_004547.3	XP_005627461.2	XP_003986249.2	XP_007085369.1	XP_014926609.2
5	5	0.27399999999999997	NP_073595.2	XP_022281660.1	XP_023109640.1	XP_007085352.1	XP_026913752.1
5	5	0.789	NP_060599.1	XP_537661.2	XP_003996803.3	XP_007085804.1	XP_014934024.1
5	5	0.775	NP_003084.1	NP_001300792.1	XP_003986090.1	XP_007085351.1	XP_014928975.2
5	5	0.82	NP_002135.2	XP_548172.3	XP_003996798.1	XP_007085789.1	XP_026889779.1
5	5	0.772	NP_002138.1	XP_003435305.1	XP_003996795.1	XP_007085790.1	XP_026889788.1
5	5	0.812	NP_659404.2	XP_005641870.1	XP_006944069.1	XP_007085512.1	XP_026910093.1
5	5	0.777	NP_003126.1	NP_001239220.1	XP_003981247.1	XP_007085609.1	XP_026891722.1
5	5	0.784	NP_775935.1	XP_005619502.1	XP_003981280.1	XP_007085618.1	XP_026890808.1
5	5	0.6990000000000001	NP_000496.2	XP_546206.2	NP_001161684.2	XP_007085596.2	XP_014928233.2
5	5	0.7809999999999999	NP_001025057.1	XP_013968463.1	XP_003981258.1	XP_007085597.1	XP_014928174.2
5	5	0.778	NP_001937.2	XP_852241.1	XP_003989146.1	XP_007085666.1	XP_014929575.2
5	5	0.7040000000000001	NP_004040.1	XP_545888.5	XP_003986788.1	XP_007078241.1	XP_014942425.1
5	5	0.784	NP_689801.1	XP_539701.3	XP_023113049.1	XP_007085655.1	XP_014938938.2
5	5	0.49	NP_620410.3	XP_549121.2	XP_004000744.2	XP_007085649.1	XP_014920123.2
5	5	0.512	NP_054886.2	XP_854361.1	XP_003989135.2	XP_007085654.1	XP_014942003.1
5	5	0.7909999999999999	XP_006714991.1	XP_005619233.1	XP_011283609.2	XP_007085621.1	XP_026891106.1
5	5	0.784	NP_006174.1	NP_001300803.1	XP_003989141.3	XP_007085660.1	XP_014929589.1
5	5	0.813	NP_001004434.1	XP_535347.1	XP_011282822.1	XP_007078239.1	XP_026915815.1
5	5	0.654	NP_008913.2	XP_022258956.1	XP_003989139.1	XP_007085658.1	XP_014929408.1
5	5	0.878	NP_003059.1	NP_001091450.1	XP_023104086.1	XP_007085636.1	XP_026898617.1
5	5	0.723	NP_004952.2	XP_549340.3	XP_004001030.1	XP_007085631.1	XP_026909229.1
5	5	0.7909999999999999	NP_060762.3	XP_532250.5	XP_003986470.1	XP_007085550.1	XP_014932124.1
5	5	0.625	NP_002440.2	NP_001003098.1	XP_006927971.2	XP_007085565.1	XP_026890577.1
5	5	0.778	NP_056955.2	XP_003638990.3	XP_003989730.1	XP_007078238.2	XP_026915803.1
5	5	0.861	NP_059109.3	XP_854262.2	XP_004000928.2	XP_007085522.1	XP_026910052.1
5	5	0.7859999999999999	NP_647480.1	XP_013974741.1	XP_003989207.1	XP_007085721.1	XP_014926325.1
5	5	0.792	NP_666018.3	XP_539743.3	XP_023113136.1	XP_007085725.1	XP_014926349.1
